Counter_Name,ValueFloat
OCBC Bank,32993891.0
Ascendas Reit,6245997.5
CapitaLand,14339453.0
CapitaMall Trust,10677863.6
CityDev,10562490.0
ComfortDelGro,11225389.0
DBS,80860990.0
Genting Sing,23447047.0
Golden Agri-Res,866624.5
HongkongLand USD,2951162.0
HPH Trust USD,5028804.5
Jardine C&C,2462513.0
JMH USD,4810851.0
JSH USD,3136015.0
Keppel Corp,22923951.0
CapitaCom Trust,12568100.0
SATS,3782204.0
Sembcorp Ind,8244786.0
SGX,6948203.0
SIA,4726874.0
SingTel,37194598.0
SPH,2809424.0
ST Engineering,8198752.0
StarHub,11191367.0
ThaiBev,5522935.4
UOB,34787502.0
UOL,5204928.0
Venture,19224610.0
Wilmar Intl,10100631.0
YZJ Shipbldg SGD,16505420.0
