Counter Name	Code	Last 	Chg 	% 	Vol 	B Vol 	Buy 	Sell 	S Vol 	High 	Low 	Value 	Sector 
OCBC Bank	O39	11.68	-	-	2,824.50	21.2	11.67	11.68	15.7	11.76	11.61	32,993,891	FIN
Ascendas Reit	A17U	2.63	0.01	0.382	2,382.50	425.5	2.62	2.63	198.6	2.64	2.61	6,245,997.50	PROP
CapitaLand	C31	3.18	-0.02	-0.625	4,501.20	569	3.18	3.19	722.7	3.21	3.17	14,339,453	PROP
CapitaMall Trust	C38U	2.02	-0.02	-0.98	5,270.20	3,126.30	2.02	2.03	1,173.50	2.04	2.01	10,677,863.60	PROP
CityDev	C09	11.02	-0.07	-0.631	958.7	10	11.02	11.03	9.2	11.06	10.95	10,562,490	PROP
ComfortDelGro	C52	2.3	0.04	1.77	4,902.90	286.3	2.3	2.31	654.3	2.32	2.25	11,225,389	TSC
DBS	D05	26.83	-0.11	-0.408	2,993.60	4.9	26.83	26.84	3.8	27.2	26.8	80,860,990	FIN
Genting Sing	G13	1.22	-	-	19,180.20	3,408.10	1.21	1.22	3,008.40	1.24	1.21	23,447,047	Hotels
Golden Agri-Res	E5H	0.31	-0.005	-1.587	2,760.70	7,885.80	0.31	0.315	8,226.80	0.315	0.31	866,624.50	AGR
HongkongLand USD	H78	7.17	-0.01	-0.139	411.7	1	7.17	7.18	10.2	7.19	7.15	2,951,162	PROP
HPH Trust USD	NS8U	0.28	-	-	17,943.60	7,987.20	0.28	0.285	7,876.50	0.285	0.275	5,028,804.50	TSC
Jardine C&C	C07	32.18	0.06	0.187	76.2	1.2	32.18	32.19	1	32.48	32.12	2,462,513	COM
JMH USD	J36	63.02	0.01	0.016	76.5	0.2	62.87	63.02	0.3	63.02	62.7	4,810,851	COM
JSH USD	J37	36.39	-0.14	-0.383	86	0.3	36.38	36.44	0.3	36.94	36.36	3,136,015	COM
Keppel Corp	BN4	7.18	0.09	1.269	3,188.30	71.8	7.17	7.18	76.3	7.24	7.13	22,923,951	Multi
CapitaCom Trust	C61U	1.64	-0.02	-1.205	7,647.90	3,722.90	1.63	1.64	85	1.66	1.63	12,568,100	PROP
SATS	S58	4.95	-0.01	-0.202	765.5	71.5	4.94	4.95	32.9	4.96	4.92	3,782,204	SERV
Sembcorp Ind	U96	2.79	0.03	1.087	2,939	225.3	2.78	2.79	94.2	2.83	2.77	8,244,786	Multi
SGX	S68	7.22	0.09	1.262	964.6	28	7.21	7.22	15.3	7.23	7.13	6,948,203	FIN
SIA	C6L	10.9	0.03	0.276	433.1	11.3	10.89	10.9	13.5	10.97	10.86	4,726,874	TSC
SingTel	Z74	3.11	-0.01	-0.321	11,943.10	2,940.20	3.11	3.12	2,389.80	3.12	3.1	37,194,598	TSC
SPH	T39	2.61	-	-	1,080.10	165.2	2.6	2.61	378.7	2.62	2.59	2,809,424	MFG
ST Engineering	S63	3.32	-0.03	-0.896	2,455	167.8	3.31	3.32	219.7	3.37	3.31	8,198,752	Multi
StarHub	CC3	1.71	-0.02	-1.156	6,553.80	98.1	1.7	1.71	230.3	1.75	1.67	11,191,367	TSC
ThaiBev	Y92	0.745	-	-	7,415.90	2,413.70	0.74	0.745	1,655.20	0.75	0.74	5,522,935.40	MFG
UOB	U11	26.71	0.11	0.414	1,305.30	1.9	26.7	26.71	7	26.79	26.46	34,787,502	FIN
UOL	U14	7.62	0.09	1.195	683.6	9.4	7.62	7.63	3.1	7.67	7.5	5,204,928	PROP
Venture	V03	17.69	0.04	0.227	1,084.70	1.9	17.68	17.69	0.5	17.88	17.51	19,224,610	MFG
Wilmar Intl	F34	3.06	-	-	3,279.90	191.3	3.06	3.07	161.1	3.1	3.05	10,100,631	MFG
YZJ Shipbldg SGD	BS6	0.92	-0.015	-1.604	17,785.30	3,378.30	0.92	0.925	2,099.10	0.94	0.92	16,505,420	MFG
